;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039
1994-10-31;0,992631;0,969384;0,725238;-8,412141;15,827057;-2,018125;0,981652;0,916913;-2,397229;0,984861;-1,790134;-2,321902;1,000082
1994-11-30;1,005318;0,992473;-0,104602;4,897338;-4,45818;-0,992379;1,021158;1,000743;6,794182;1,014391;0,974117;-0,926958;0,999637
1994-12-31;0,998714;0,991336;-4,211175;4,637325;12,04291;16,160901;0,985784;0,97273;-3,273356;0,975301;0,122539;-1,898245;1,000472
1995-01-31;0,989012;1,03565;1,659742;-4,283609;1,50238;-1,818578;0,992222;1,014218;1,188977;1,000333;-0,301612;-0,659405;0,998166
1995-02-28;0,990981;1,005266;-3,683114;0,580674;-11,275196;3,445692;1,000561;1,00684;0,071479;0,995923;-0,792137;3,671692;1,000231
1995-03-31;1,01656;0,984657;0,015081;-0,113662;5,741696;3,628395;1,022697;1,065854;7,27383;1,02031;0,551412;2,757444;1,002048
1995-04-30;0,991598;0,982757;-1,025812;-5,051501;-1,533686;-5,400537;0,962244;0,919907;-4,749963;0,980242;-3,637454;-2,26274;0,999542
1995-05-31;1,001856;1,0273;8,359328;4,510858;0,461036;0,157932;1,038272;1,0557;-2,753137;1,027897;1,802217;11,473053;0,995897
1995-06-30;1,012857;0,573159;5,776391;0,999118;0,831215;4,09271;0,999731;1,021832;-0,953152;1,009418;0,806035;-2,813364;1,010863
1995-07-31;0,984753;0,595516;-10,686892;-5,546423;-2,887124;-12,465592;0,965274;0,914068;-3,630729;0,965383;-1,96834;3,150986;1,0043
1995-08-31;1,005248;0,807679;4,231064;2,34256;9,334325;14,685929;1,033892;1,027189;2,516006;1,009116;0,837507;1,860641;0,997634
1995-09-30;0,993188;0,968137;4,301713;-0,082734;-0,941516;-1,014863;0,976385;0,966776;0,970559;0,992182;-0,938122;-4,876056;1,003813
1995-10-31;1,014119;0,908647;-6,968711;2,368114;-5,500101;-6,117608;1,015613;0,988681;2,545277;0,997923;-0,421542;-0,63119;0,993954
1995-11-30;1,100713;0,905468;8,39451;6,027942;-8,137754;-0,163907;1,006906;1,03602;3,210539;1,012263;0,889602;2,502266;0,985737
1995-12-31;0,990242;0,912957;-18,615579;-6,074071;2,767849;-13,316557;0,931575;0,953028;1,705514;0,966868;-1,836632;-1,15266;0,982487
1996-01-31;1,012047;0,956484;7,14542;2,737033;-0,036977;12,66227;1,061347;1,039914;-0,475898;1,011878;0,832243;-1,511715;1,007411
1996-02-29;0,995747;0,975851;4,291902;-9,527588;4,642218;2,283181;1,02307;1,001524;-0,222267;1,026032;2,301106;-0,71038;1,006528
1996-03-31;0,986238;0,997973;-23,25107;-4,519066;6,287006;3,360331;0,953905;0,944247;-2,453468;0,966258;-5,394575;-6,724504;1,001542
