;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039
1996-03-31;1,020826;1,045263;19,482899;5,731753;6,146859;11,531829;1,039255;1,040121;-0,9913;1,088785;14,553722;3,720974;0,409511
1996-04-30;0,977922;0,978882;-0,210251;5,683738;-2,611789;2,744238;0,982567;1,028694;2,578592;0,960816;11,75616;9,751908;0,337464
1996-05-31;1,014314;0,956738;0,505962;3,360178;-13,200356;1,080741;1,015764;1,002744;3,658907;0,933297;6,860895;9,600283;0,422039
1996-06-30;0,985411;0,755266;11,225649;20,789342;4,056318;11,529806;0,992398;1,046803;1,96301;1,153535;13,404259;12,097359;1,251696
1996-07-31;1,020426;1,030996;10,28052;15,570025;-7,964557;25,4528;0,981196;0,965981;0,624187;1,039195;-35,282026;7,23174;1,634991
1996-08-31;1,006866;1,077792;-48,723493;-17,658752;-39,196047;-51,85379;1,01631;0,923923;4,805459;0,848967;2,463772;-2,401462;2,042792
1996-09-30;0,993704;0,97137;28,818253;12,972319;12,921674;7,920557;1,012973;1,01428;-3,724805;1,119575;10,728398;-9,57107;2,29498
1996-10-31;1,035206;1,042541;20,238991;16,873105;7,391114;10,265926;1,028527;1,045159;-1,350398;0,995019;0,379163;-3,8633;1,290882
1996-11-30;0,990305;1,053347;-2,354472;-4,17092;2,150812;-4,098572;0,967334;0,991342;-1,116838;1,02324;-5,84491;-9,281082;0,840029
1996-12-31;1,024304;1,069968;-33,505047;-23,358071;18,506149;-16,747459;1,023203;1,04113;-6,327117;1,066363;-20,40293;-3,159483;0,530314
1997-01-31;1,015847;1,061478;-1,368636;-21,801505;17,206811;1,690368;1,019901;0,984803;1,634512;0,877572;-0,953271;-5,747118;0,513001
1997-02-28;0,920318;0,965062;-4,953882;-13,642746;-4,296213;0,873749;0,921915;0,915259;0,307803;0,894888;2,571822;-8,080664;0,433924
1997-03-31;1,019343;1,039239;18,529553;6,487818;7,358941;11,233945;1,033065;1,040681;-0,799928;1,088128;14,730544;3,164915;0,41238
1997-04-30;0,974963;0,965506;0,147931;5,985975;-5,126505;2,963562;0,995479;1,026236;1,755842;0,964602;11,987864;9,367422;0,340054
1997-05-31;1,012189;0,943492;-0,446442;2,229563;-11,853238;0,585377;1,012136;1,008282;1,454436;0,932104;6,487807;9,888595;0,425343
1997-06-30;0,980246;0,761522;10,854475;20,124289;2,571755;10,194264;0,987334;1,039295;0,374083;1,147394;13,061895;12,284601;1,255241
1997-07-31;1,024694;1,039054;12,137014;16,082612;-8,362249;23,472364;0,987883;0,967557;0,09636;1,041822;-35,59742;6,060436;1,632028
1997-08-31;1,008601;1,072679;-47,86454;-18,6328;-39,421455;-48,284885;1,011638;0,929788;4,064249;0,847669;2,397238;-2,915384;2,026307
